# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
0.868, 01101101101100111011000011110000100111100011011001010110000110100001110011010111011011110001111110111011011010101100011000100110001010100101100111101110111000101110110011010000111110011100001010100000111100001011000100111110011000001001011011111100110000110001110101101111110001001000110100000100101000000110101110100110010110100001001001101001100101111010010101111110101110101010110001110111000001011010000110011111110000111000000011010000011000000010011000100000001110110010011100111000100101011111, 0.868, 01101101101100111011000011110000100111100011011001010110000110100001110011010111011011110001111110111011011010101100011000100110001010100101100111101110111000101110110011010000111110011100001010100000111100001011000100111110011000001001011011111100110000110001110101101111110001001000110100000100101000000110101110100110010110100001001001101001100101111010010101111110101110101010110001110111000001011010000110011111110000111000000011010000011000000010011000100000001110110010011100111000100101011111, 0, 0, 1.0, 10
0.8712, 01101101101100111011000011110000100111100011011001010110000110100001110011010111011011110001111110111011011010101100011000100110001010100101100111101110111000101110110011010000111110011100001010100000111100001011000100111110011000001001011011111100111010101100100100100000000110101011111001000101000010011101001000111000010101011010010100111011101111011111100001110111000111101010111111100101101000110010000000010100110100011011000001011110110010010101000010110010111111011110011000110011001111000110, 0.8712, 01101101101100111011000011110000100111100011011001010110000110100001110011010111011011110001111110111011011010101100011000100110001010100101100111101110111000101110110011010000111110011100001010100000111100001011000100111110011000001001011011111100111010101100100100100000000110101011111001000101000010011101001000111000010101011010010100111011101111011111100001110111000111101010111111100101101000110010000000010100110100011011000001011110110010010101000010110010111111011110011000110011001111000110, 0, 2, 1.0, 8
0.9512, 11100110001000110110000101110111101111011000010000011100100011010000011101111101111000101110110110000110110000011101101101111001111000000101000011011001000111100010001001000010001000001010000001101010100110111101100001010010111101000010100010000010011110111100100100100000000110101110110001100101000010011101001000111000010100010010010100111011101111011111100001110111000011001010111111100101101000100011100000010110110100001011000001011110110010110101000010110010111101011110011000010011110111000111, 0.9512, 11100110001000110110000101110111101111011000010000011100100011010000011101111101111000101110110110000110110000011101101101111001111000000101000011011001000111100010001001000010001000001010000001101010100110111101100001010010111101000010100010000010011110111100100100100000000110101110110001100101000010011101001000111000010100010010010100111011101111011111100001110111000011001010111111100101101000100011100000010110110100001011000001011110110010110101000010110010111101011110011000010011110111000111, 0, 1, 1.0, 9
0.9008, 00101101101100111011000011110000100111110011011000010110000111100001110011011111011111110001111110011011011010101110011001100110001010100100100111101110111000101110110011010000111110010100001010100000111100001011000100101110011000001011011011111100111010101100101110111010000110101011111001000101100010011001001000111000010101010111110000111011001111011110101111110111000111101010111010100001101000110010000001000100010100011010000001011111110110010001000001110010111111011110101000010010000011000110, 0.9512, 11100110001000110110000101110111101111011000010000011100100011010000011101111101111000101110110110000110110000011101101101111001111000000101000011011001000111100010001001000010001000001010000001101010100110111101100001010010111101000010100010000010011110111100100100100000000110101110110001100101000010011101001000111000010100010010010100111011101111011111100001110111000011001010111111100101101000100011100000010110110100001011000001011110110010110101000010110010111101011110011000010011110111000111, 0, 0, 1.0, 10
0.9548, 01001101101100101011000011110100100111100011011001010110000110100001110111010111111011110000101110111011010011101100011000100110001010100101101100111111111000101010110011011000111010011100001010100000111100101011000100111110011010001011011011111100111110111101100100100000000110101110110001100101000010011100101000111000010100010000010110111010101111111111100001010111001011001010111111100101101000100010000000010110110110001011000001011111110110110101001010110010111101011101011001000011110111000101, 0.9548, 01001101101100101011000011110100100111100011011001010110000110100001110111010111111011110000101110111011010011101100011000100110001010100101101100111111111000101010110011011000111010011100001010100000111100101011000100111110011010001011011011111100111110111101100100100000000110101110110001100101000010011100101000111000010100010000010110111010101111111111100001010111001011001010111111100101101000100010000000010110110110001011000001011111110110110101001010110010111101011101011001000011110111000101, 0, 0, 1.0, 10
0.9548, 01001101101100101011000011110100100111100011011011010110000110100000110111011111110011110000101110111010010011101100011000100110001110100101001100111111111000101010110011011000111010111100001010100000111100101011100100111110011010001001011011111101111010001000100000101010000110100111011011000101011011011100101010111000001001011110011000111001101111011111101011110011000011101011111111100101101000110010000110010111010100011011001001100100011010010011010011110010101110111111011000111001001111010100, 0.9548, 01001101101100101011000011110100100111100011011011010110000110100000110111011111110011110000101110111010010011101100011000100110001110100101001100111111111000101010110011011000111010111100001010100000111100101011100100111110011010001001011011111101111010001000100000101010000110100111011011000101011011011100101010111000001001011110011000111001101111011111101011110011000011101011111111100101101000110010000110010111010100011011001001100100011010010011010011110010101110111111011000111001001111010100, 0, 0, 1.0, 10
0.9548, 11000111000000000110000000110111100011011011010011001100110011000000011101111101111000101110100110001110011001011111100101110001111000010000000011001001000111101011011000000010011000001010000000111000010010111001100010010011111100000010100110000011001010001000100000101110000110100111011011000101011011011100101010111000001001011110011000111001101111111011101011110011000001101011111111100100101000110010000110010111010100001011001001110100010010000011010011110010101110111111011010111000001111010100, 0.9548, 11000111000000000110000000110111100011011011010011001100110011000000011101111101111000101110100110001110011001011111100101110001111000010000000011001001000111101011011000000010011000001010000000111000010010111001100010010011111100000010100110000011001010001000100000101110000110100111011011000101011011011100101010111000001001011110011000111001101111111011101011110011000001101011111111100100101000110010000110010111010100001011001001110100010010000011010011110010101110111111011010111000001111010100, 0, 1, 1.0, 9
0.9548, 11000111000000000110000000110111101011011011010011001100110011000000111101111101111000101111100110000110111000001101101101110001111000010000000011001001000111001010010001000010001000001010110000101010000010111101000011010010001110000010110110000010001010001000100000101010000110100111011011000101111011011100100010111000001001011110011001111001101111011111101011010011000011101011011111100101101000010010000110110110010100011011001001100100011010010011010011110010101110110111011000111001001111010100, 0.9548, 11000111000000000110000000110111101011011011010011001100110011000000111101111101111000101111100110000110111000001101101101110001111000010000000011001001000111001010010001000010001000001010110000101010000010111101000011010010001110000010110110000010001010001000100000101010000110100111011011000101111011011100100010111000001001011110011001111001101111011111101011010011000011101011011111100101101000010010000110110110010100011011001001100100011010010011010011110010101110110111011000111001001111010100, 0, 0, 1.0, 10
0.9548, 11000111000000000110000000110111101010011010010011001100110011000000001101111101111010101010100110000000111010101101101101111001110001010000000011000000000111101010011000000010011000001010000000101010001010111001100010010100110110000010100110000010001110111101000110000000000110101010110001100100000010111101111010011000000100010000010110111010101110111111101001010111001011001010111110100101101001110010000000011110110110001011000001111111100110111101101010111010111101011111011101001011110101001101, 0.9548, 11000111000000000110000000110111101010011010010011001100110011000000001101111101111010101010100110000000111010101101101101111001110001010000000011000000000111101010011000000010011000001010000000101010001010111001100010010100110110000010100110000010001110111101000110000000000110101010110001100100000010111101111010011000000100010000010110111010101110111111101001010111001011001010111110100101101001110010000000011110110110001011000001111111100110111101101010111010111101011111011101001011110101001101, 0, 0, 1.0, 10
0.9548, 11000111001000000110000101110111100011111010010011101100110111000000011111101100111000101110000110000000111000001111101111010001011000010000000011001001000111101010010001000000001000001010001001111010000010111111110110010010111100000010000100000011001110110101000010100010010110101010110011110100000010110000111010111100000000010000010110111011100101101111000010110011001010001010111111100100101001100000000000010100110111001011000001010111110110110011011101110110110110111101001001010001110111100101, 0.9548, 11000111001000000110000101110111100011111010010011101100110111000000011111101100111000101110000110000000111000001111101111010001011000010000000011001001000111101010010001000000001000001010001001111010000010111111110110010010111100000010000100000011001110110101000010100010010110101010110011110100000010110000111010111100000000010000010110111011100101101111000010110011001010001010111111100100101001100000000000010100110111001011000001010111110110110011011101110110110110111101001001010001110111100101, 0, 0, 1.0, 10
0.9548, 11000111011000000110001000110111100111011010000011101100110111000000101101111000111000101110100111000110110000001111101111111001111000010000000011001001000011101010010001000001001000001010001001111011000010111110100110010010111101000010000110010010001100101101011010100000000110101010110001100100010110111100101000111000000100110000010010111010100111111111100001010111001010001010111101100101101000000010010001011110110110000011010101011111100010111101111010100010111101011101011101001011110111000101, 0.9548, 11000111011000000110001000110111100111011010000011101100110111000000101101111000111000101110100111000110110000001111101111111001111000010000000011001001000011101010010001000001001000001010001001111011000010111110100110010010111101000010000110010010001100101101011010100000000110101010110001100100010110111100101000111000000100110000010010111010100111111111100001010111001010001010111101100101101000000010010001011110110110000011010101011111100010111101111010100010111101011101011101001011110111000101, 0, 0, 1.0, 10
0.9548, 11100111010000000110001101110100100011111010110111111100100110000001011110001100111000101110000110000000111010001011101111010001011000110000000011001001000111101010010001000000001000001010011011111110000000111111111110010010111100100010010101000011000110110101000010101010011110101010010011110100000010110010111010111110000010010000010010111011100101101111101010010011011010001010110111100100001001110000000010010100110111011011100011010101100110110011011101110110110100111101001001011001110111100101, 0.9548, 11100111010000000110001101110100100011111010110111111100100110000001011110001100111000101110000110000000111010001011101111010001011000110000000011001001000111101010010001000000001000001010011011111110000000111111111110010010111100100010010101000011000110110101000010101010011110101010010011110100000010110010111010111110000010010000010010111011100101101111101010010011011010001010110111100100001001110000000010010100110111011011100011010101100110110011011101110110110100111101001001011001110111100101, 0, 0, 1.0, 10
0.9548, 11000110001000000110100000100111100001011010010011101101100111100100001111001111111000101110010110000100111110000001101011110001011000010111001011000001001111110100010001010010001100001010111001111011010010111011110110010011111000000000000000000011001101111101011011000000000100001010110001101101010110111100001000010000000101000010010111111010101111111111100101010100000111001010111100110101100000000010000001111110110010001011110100011100100011111101101010101000111001011101011101001101010111100101, 0.9548, 11000110001000000110100000100111100001011010010011101101100111100100001111001111111000101110010110000100111110000001101011110001011000010111001011000001001111110100010001010010001100001010111001111011010010111011110110010011111000000000000000000011001101111101011011000000000100001010110001101101010110111100001000010000000101000010010111111010101111111111100101010100000111001010111100110101100000000010000001111110110010001011110100011100100011111101101010101000111001011101011101001101010111100101, 0, 0, 1.0, 10
0.9548, 11000110000000000110100000100111100001011010010011101101100111100000001111001111111000011110010110000100111110000001101001110001011000010111101011000001001111110100010001010010001110001010111001111011010010111011110110010111111000000000000000000011000110100101000010001010011110101010010011110100000010110011101010111110000010011000010010111011100101101010101010010011011010001010110111100100101001110000000010010100100111011011100011110101100110010011011101111110110100111101001001011001110111100101, 0.9548, 11000110000000000110100000100111100001011010010011101101100111100000001111001111111000011110010110000100111110000001101001110001011000010111101011000001001111110100010001010010001110001010111001111011010010111011110110010111111000000000000000000011000110100101000010001010011110101010010011110100000010110011101010111110000010011000010010111011100101101010101010010011011010001010110111100100101001110000000010010100100111011011100011110101100110010011011101111110110100111101001001011001110111100101, 0, 0, 1.0, 10
0.9548, 11100100000000000110001000110101100011111010110111111100100110000011011110001000101000101000000100000000011010001011101101010001011001100001000111001001000111101011010001000000011100001010011011111110011000111101111110110010111100100010010101000001001111111100000111100000001110101110100001000100100000011100101011101001000110110000110100110010101100011111100001010111110111001010101111100101101000010100000000011100110110001111001000111011100111001100001000111010111101011111011100101111110001001101, 0.9548, 11100100000000000110001000110101100011111010110111111100100110000011011110001000101000101000000100000000011010001011101101010001011001100001000111001001000111101011010001000000011100001010011011111110011000111101111110110010111100100010010101000001001111111100000111100000001110101110100001000100100000011100101011101001000110110000110100110010101100011111100001010111110111001010101111100101101000010100000000011100110110001111001000111011100111001100001000111010111101011111011100101111110001001101, 0, 0, 1.0, 10
0.9548, 01001101000000000110101011010011110011011000010111101101110111010000001100110001000010101010100010001101111011111100101011101101011001001000000000000000000011111110011100000010011010111010100000100110001110111001100000000111010110000010110111000010000010010101000010101010001110001010010111110100000010010110111010101110010010001000000011111011100001101111101010010010011010001010110110100000001111011000000010010101110111011011100011010001010110110010011101110111110100011100001001011001010111100101, 0.9548, 01001101000000000110101011010011110011011000010111101101110111010000001100110001000010101010100010001101111011111100101011101101011001001000000000000000000011111110011100000010011010111010100000100110001110111001100000000111010110000010110111000010000010010101000010101010001110001010010111110100000010010110111010101110010010001000000011111011100001101111101010010010011010001010110110100000001111011000000010010101110111011011100011010001010110110010011101110111110100011100001001011001010111100101, 0, 0, 1.0, 10
0.9548, 11110101000000000110101001110111101011111010000111101101110111010100001100100011100010111010100010010001111011001101101011101101011001001000000101100000000011100000011100000010011010111110100000000110001110111001101000000110010110000010100110000010001110110101000110100010011110101010110011110100010010010010111110011110000010010000010011101011110101101111101001010011111011101010010111100100001001100000100010010110011111011011101011010101101110110011011110110100110100111101001001011000110111100101, 0.9548, 11110101000000000110101001110111101011111010000111101101110111010100001100100011100010111010100010010001111011001101101011101101011001001000000101100000000011100000011100000010011010111110100000000110001110111001101000000110010110000010100110000010001110110101000110100010011110101010110011110100010010010010111110011110000010010000010011101011110101101111101001010011111011101010010111100100001001100000100010010110011111011011101011010101101110110011011110110100110100111101001001011000110111100101, 0, 0, 1.0, 10
