# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
0.1148, 00000110111000111011100011100000001001110100110001010000101001100000000111001111011110011101010111011011001000001101010110111000110101010011111100010101001010110100011011001010111110011011101111111001100011101010101001110001010111100111000101000011000001100001101011000101111011101110001010111010011101001111000001111101100000100100110001111011100001110100000111111100100010010111010010101001101010111100111111111100010010010000101001110101101001000100110000010000111000001110001100011100110101001110, 0.1148, 00000110111000111011100011100000001001110100110001010000101001100000000111001111011110011101010111011011001000001101010110111000110101010011111100010101001010110100011011001010111110011011101111111001100011101010101001110001010111100111000101000011000001100001101011000101111011101110001010111010011101001111000001111101100000100100110001111011100001110100000111111100100010010111010010101001101010111100111111111100010010010000101001110101101001000100110000010000111000001110001100011100110101001110, 0, 0, 1.0, 10
0.2256, 10001000110011111000001011001010101001010110010111100100010111100101101111000001011110100101010100110111010111010001111111001100001000100101000010001011000001001100100110100101100111001101010000011110000011110100111110100110110010100111001111100010011101010001010010110010101000101111001110100011000010110001011101100100000111101001011110101010010110000001110001010011000011101011010100111100000001011110011011110100100010111000111010101011010011010110110111000110101011011111100100101010110010100010, 0.2256, 10001000110011111000001011001010101001010110010111100100010111100101101111000001011110100101010100110111010111010001111111001100001000100101000010001011000001001100100110100101100111001101010000011110000011110100111110100110110010100111001111100010011101010001010010110010101000101111001110100011000010110001011101100100000111101001011110101010010110000001110001010011000011101011010100111100000001011110011011110100100010111000111010101011010011010110110111000110101011011111100100101010110010100010, 0, 1, 1.0, 9
0.1148, 10010011111101100011100101111110110100110010000000001000111011111000000100100100001110111010101001000010100000001100001000011110001101001110010111000010110010000110100101001100011001101101000101101001011110100000000010011000111001111100011010110000101101101000000100011100000111111110011100000110011010101101001001010100101110011101000011100110000001110111110010001101111110011001111100010100100101111111011011000110101010100111001001100110111100110000100110101010100111110111110101110111011001010000, 0.2256, 10001000110011111000001011001010101001010110010111100100010111100101101111000001011110100101010100110111010111010001111111001100001000100101000010001011000001001100100110100101100111001101010000011110000011110100111110100110110010100111001111100010011101010001010010110010101000101111001110100011000010110001011101100100000111101001011110101010010110000001110001010011000011101011010100111100000001011110011011110100100010111000111010101011010011010110110111000110101011011111100100101010110010100010, 0, 0, 1.0, 10
0.3064, 10111101001000010010110001001011101100000000000010100001100000001000000011101101010110101110100111101110001001100101101110000010000010011010110001001100010111100000111001100111001110111100000100001101011011011100110011010101101010110000111110011111101101101000000100011100000111101110011101000110011010101101001001010100101110011001000011100110010000110111110010001101111110011001111100010100100100011111011011100110001010101111001001100110111100110000100110101011000111110111110101110111010001010000, 0.3064, 10111101001000010010110001001011101100000000000010100001100000001000000011101101010110101110100111101110001001100101101110000010000010011010110001001100010111100000111001100111001110111100000100001101011011011100110011010101101010110000111110011111101101101000000100011100000111101110011101000110011010101101001001010100101110011001000011100110010000110111110010001101111110011001111100010100100100011111011011100110001010101111001001100110111100110000100110101011000111110111110101110111010001010000, 0, 0, 1.0, 10
0.3064, 10010011111101100011100101011010110100110010000000001000111111111001000100100100001110111010100001000100100000001100001000011010000010011110010111000011110010000110100101001100011101101101000111101011010110100000001010011100111001101100011010110000101101101000000100010100000111101110010101000110011010101100001001011100101110011001000011100100010000110111110010001101111100011001111100010100100100010111010001100110101010101111001001110110111100110000110110101011000111110111111101110111010001010000, 0.3064, 10010011111101100011100101011010110100110010000000001000111111111001000100100100001110111010100001000100100000001100001000011010000010011110010111000011110010000110100101001100011101101101000111101011010110100000001010011100111001101100011010110000101101101000000100010100000111101110010101000110011010101100001001011100101110011001000011100100010000110111110010001101111100011001111100010100100100010111010001100110101010101111001001110110111100110000110110101011000111110111111101110111010001010000, 0, 0, 1.0, 10
0.2584, 10110101001100010010110001001010101000001000100000100001100000001000000011101101010010101110100111101000001011100101101110100010000010011010100001001101010111100000101001100111001110101100000100001101011011011100110111000101101010110000111110011011100111101000000100011110000011111110001110010100011000101111011001110100001110111100011101010110000001110111110000011101111010111000111100010100100001111011011000100110101110100111011101110110010000010000000110101101000111010111100101111111001111010010, 0.3064, 10010011111101100011100101011010110100110010000000001000111111111001000100100100001110111010100001000100100000001100001000011010000010011110010111000011110010000110100101001100011101101101000111101011010110100000001010011100111001101100011010110000101101101000000100010100000111101110010101000110011010101100001001011100101110011001000011100100010000110111110010001101111100011001111100010100100100010111010001100110101010101111001001110110111100110000110110101011000111110111111101110111010001010000, 0, 1, 1.0, 9
0.212, 11111110000101100010101101100011110001011001110000011100010010111111000001010001101000001000100101100011010100000110101001101110100101100100100000101101111110000011000111110101101001011010101111100001101010110011111110001101010110001111001011001000001100101001001100010010000111111110010100100111011010101100000001010100101110111001010011100000001011110110100010001111111010011001101100010100010101001101101011110110101111100111001011101110111100110000101010101010100111010101110101110111011001010101, 0.3064, 10010011111101100011100101011010110100110010000000001000111111111001000100100100001110111010100001000100100000001100001000011010000010011110010111000011110010000110100101001100011101101101000111101011010110100000001010011100111001101100011010110000101101101000000100010100000111101110010101000110011010101100001001011100101110011001000011100100010000110111110010001101111100011001111100010100100100010111010001100110101010101111001001110110111100110000110110101011000111110111111101110111010001010000, 0, 2, 1.0, 8
0.2088, 10010111010101100111100001110110110101001010000100101010110010111101010100111100101110010000101011000011010000001100011000011110011001011010110111010111110010000000100111100000110001101101000101111001011111000001001110010000111001101110010110011011110111101000000000011010000011011110001110010100011000101101011001110000001110110100011101010110000001110110110100011101111010100000111100010100101001111111011000110110001110000111011101110110010000010000000110101111000101010111110101111111101111010010, 0.3064, 10010011111101100011100101011010110100110010000000001000111111111001000100100100001110111010100001000100100000001100001000011010000010011110010111000011110010000110100101001100011101101101000111101011010110100000001010011100111001101100011010110000101101101000000100010100000111101110010101000110011010101100001001011100101110011001000011100100010000110111110010001101111100011001111100010100100100010111010001100110101010101111001001110110111100110000110110101011000111110111111101110111010001010000, 0, 0, 1.0, 10
0.914, 11111010000101101010101101000111101000111001011000111100010110111111000000100010101001001000101000100001010100001110101001111111101101100101100000111101111110100011000111010101001101011010001110100001001110110011100010101101101010001101000011010000001111101000010000011100001111011110011100101100011010101101010000100100001010111100010001110110001001110111100010001001111110111001111000010100100101111111011100000100101000000111001101010010011010010001100110101110100110000100110101110111011101000010, 0.914, 11111010000101101010101101000111101000111001011000111100010110111111000000100010101001001000101000100001010100001110101001111111101101100101100000111101111110100011000111010101001101011010001110100001001110110011100010101101101010001101000011010000001111101000010000011100001111011110011100101100011010101101010000100100001010111100010001110110001001110111100010001001111110111001111000010100100101111111011100000100101000000111001101010010011010010001100110101110100110000100110101110111011101000010, 0, 1, 1.0, 9
0.7612, 10110101001100010010110001001010101000001101100000100101100000011001010111101111010010101110100111101000001011100100101110110110000011011110100001000101010111100001101001100111001110100100000100001101011011011100111111000101111010100000111110011011101111101000010101011100001111011110011100100100011010101101010000010110001110111110000001110110000001110101100010011001111110110001111100010001100101111110011100000110001000100111011101110010011110011000110110100100100111000101110101110111111101010010, 0.914, 11111010000101101010101101000111101000111001011000111100010110111111000000100010101001001000101000100001010100001110101001111111101101100101100000111101111110100011000111010101001101011010001110100001001110110011100010101101101010001101000011010000001111101000010000011100001111011110011100101100011010101101010000100100001010111100010001110110001001110111100010001001111110111001111000010100100101111111011100000100101000000111001101010010011010010001100110101110100110000100110101110111011101000010, 0, 0, 1.0, 10
