# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
-1.0, 01010110111110101100010101110101011111101000001011000011111111111111000111101101001111100010100101111110111001011101001111010100100010001101001101011101011011111101110100110010111111110110001010001001100100110000101110010100000100010011011100100111101110011011100011000101111100010100001100000111000101011101001001101001000100101101100000110001111010010110011100101111001111000000111111100001100000010010110010111011100010110010101010110101111100110110111000100000010000010111111001000000100110011001, -1.0, 01010110111110101100010101110101011111101000001011000011111111111111000111101101001111100010100101111110111001011101001111010100100010001101001101011101011011111101110100110010111111110110001010001001100100110000101110010100000100010011011100100111101110011011100011000101111100010100001100000111000101011101001001101001000100101101100000110001111010010110011100101111001111000000111111100001100000010010110010111011100010110010101010110101111100110110111000100000010000010111111001000000100110011001, 0, None, None, None
0.099, 01010110111110101100010101100101011111101000101011000011110111110111000111101101001011100010100101111110111001011101001111010100100010001101001001011101111011111101110100110010111011110110001010001001100111110100101110010100000100010011011100100011111110011011100011000101101100010100001100000111000111011101001001101001000100101101100000110001111010010100011100101111101111000000111111101001100000010010110011111011100010110010101010110101111110011110111000100000010000010111111001000000100110011001, 0.099, 01010110111110101100010101100101011111101000101011000011110111110111000111101101001011100010100101111110111001011101001111010100100010001101001001011101111011111101110100110010111011110110001010001001100111110100101110010100000100010011011100100011111110011011100011000101101100010100001100000111000111011101001001101001000100101101100000110001111010010100011100101111101111000000111111101001100000010010110011111011100010110010101010110101111110011110111000100000010000010111111001000000100110011001, 0, None, None, None
0.11, 01010110111110101100010101100101010111101000101011000011110111010111000111101111001011101010100101111110111001011101001111010101100010001101000001011101111011011101111100110000111011110110001010001001100011110100101110010101000100010011011100100001111110111011100011000101101100010100001100000111001011011101001011101001000001101101000000110001111010010100011100101110101111000000111110101001100001010010110111110011100000110010101011110101111110011110111000100000010000010111111001010000100100011001, 0.11, 01010110111110101100010101100101010111101000101011000011110111010111000111101111001011101010100101111110111001011101001111010101100010001101000001011101111011011101111100110000111011110110001010001001100011110100101110010101000100010011011100100001111110111011100011000101101100010100001100000111001011011101001011101001000001101101000000110001111010010100011100101110101111000000111110101001100001010010110111110011100000110010101011110101111110011110111000100000010000010111111001010000100100011001, 0, None, None, None
0.105, 01010110111110101100010101100001010111101000101011010011110111010111000111111111001011101010100101111110011001011001001111010101100010001101100001011101111011001101111100110000111011110110001010001001100011110100101111010101101100010011011100100001111111111011000011001101101100010100001100000111001011011001101011101001000001101101000000110101111000010100011100101110100111000000111110101001100001010010110111110011110000110010101011110101111110011110011000100000110000010111111001010000100100011001, 0.11, 01010110111110101100010101100101010111101000101011000011110111010111000111101111001011101010100101111110111001011101001111010101100010001101000001011101111011011101111100110000111011110110001010001001100011110100101110010101000100010011011100100001111110111011100011000101101100010100001100000111001011011101001011101001000001101101000000110001111010010100011100101110101111000000111110101001100001010010110111110011100000110010101011110101111110011110111000100000010000010111111001010000100100011001, 0, None, None, None
0.167, 01010110111110101100000101100001010111101000101011000011110011010111001111111110001011101010100001111110011001011001101111010111100010001101100000111111111011001001111100010000111011110110001010001001100011110100101111010101101100010011011100100001111111111011000011001101101110010100001100000111001011001001101001101001000001101101000000010101111000010100011100101110100111000000111110101001100001010010110110110010110000110010101011110101111110011110011100101100110000010111111000010100100100011001, 0.167, 01010110111110101100000101100001010111101000101011000011110011010111001111111110001011101010100001111110011001011001101111010111100010001101100000111111111011001001111100010000111011110110001010001001100011110100101111010101101100010011011100100001111111111011000011001101101110010100001100000111001011001001101001101001000001101101000000010101111000010100011100101110100111000000111110101001100001010010110110110010110000110010101011110101111110011110011100101100110000010111111000010100100100011001, 0, None, None, None
0.094, 01000110111010101100000101100001010011101000101101000011100011010111001111111110001011101010100001111010011001011001101111010111100010011101100000111111111011001001111100000000111001110010001011001001100010110100101111010101100110011011011100100101111111111011101011100101101110110100001100000111001011001001111001101001000001101101000100010001111000010100011100101110100111000000111110101001100001010010110110110010110000110010101011110111111110011110011100101100110001010111110000010001110100011001, 0.167, 01010110111110101100000101100001010111101000101011000011110011010111001111111110001011101010100001111110011001011001101111010111100010001101100000111111111011001001111100010000111011110110001010001001100011110100101111010101101100010011011100100001111111111011000011001101101110010100001100000111001011001001101001101001000001101101000000010101111000010100011100101110100111000000111110101001100001010010110110110010110000110010101011110101111110011110011100101100110000010111111000010100100100011001, 0, None, None, None
0.158, 01000110111010101100000101000001010111101000101101000011100011010111001111111110001011101010000001111010010001011001101111010111000010011101100010111111111011001001111100100000111001110010101011001001100010110100101111010101100100011011011100100101111011111011101011100101101110010100001100000111001011001101111001101001000001101001000100010001011000010100011100101110100111010001111110101001100001010010111110110010110000110010101111110011111110011110011111101100110001010111110000010001111110011001, 0.167, 01010110111110101100000101100001010111101000101011000011110011010111001111111110001011101010100001111110011001011001101111010111100010001101100000111111111011001001111100010000111011110110001010001001100011110100101111010101101100010011011100100001111111111011000011001101101110010100001100000111001011001001101001101001000001101101000000010101111000010100011100101110100111000000111110101001100001010010110110110010110000110010101011110101111110011110011100101100110000010111111000010100100100011001, 0, None, None, None
0.099, 01000110110011101100000101001001000111101010101101001011100011010111010111111110001011101010000001111010010000011001101111010111000010011101101010111111111011001001111100100000110101110010101011001001100010110100101111010101100010011011011100100101111011111001101011100101101110110100001000000111001011001101111001101001000001101001001010010001011000010100011100101110100111010001111010101001000001010010111110110010110000111010101111110011111110011110011111101100110101010111111000010001111110011001, 0.167, 01010110111110101100000101100001010111101000101011000011110011010111001111111110001011101010100001111110011001011001101111010111100010001101100000111111111011001001111100010000111011110110001010001001100011110100101111010101101100010011011100100001111111111011000011001101101110010100001100000111001011001001101001101001000001101101000000010101111000010100011100101110100111000000111110101001100001010010110110110010110000110010101011110101111110011110011100101100110000010111111000010100100100011001, 0, None, None, None
0.899, 11000110100010101101000101011011000111101010101110001011100111010101000101111110001011101010001101111010010000011001101111110111000010011101101010111011111001001001111100101000110101110010101011001001100010110100101111010101100010011001011000100101111011011001111011100101100110110100001000000101001011001101101001101001000001101001101010110001010000110000011100101110100111010001111010101101000001010010111110110010110000111010101111110011111110011110011111101100110101010111111000010001111110011001, 0.899, 11000110100010101101000101011011000111101010101110001011100111010101000101111110001011101010001101111010010000011001101111110111000010011101101010111011111001001001111100101000110101110010101011001001100010110100101111010101100010011001011000100101111011011001111011100101100110110100001000000101001011001101101001101001000001101001101010110001010000110000011100101110100111010001111010101101000001010010111110110010110000111010101111110011111110011110011111101100110101010111111000010001111110011001, 0, None, None, None
0.899, 11000110100010111101000101111011000111101010101110001011100111010111000100111010101011101010001101110010010000011001101111111111000000011101101010111011111001001001111100101001000100110010101011000001100110110100100111010001100111011001111000100101111011011011111011100101100110110100000000000101001011001101001001101001000001100001101010110001010000110000011100101111110111010001111010101101000001010010011110110010010000111010101111110001111110011110011111101100110101010111111000010001111110011001, 0.899, 11000110100010111101000101111011000111101010101110001011100111010111000100111010101011101010001101110010010000011001101111111111000000011101101010111011111001001001111100101001000100110010101011000001100110110100100111010001100111011001111000100101111011011011111011100101100110110100000000000101001011001101001001101001000001100001101010110001010000110000011100101111110111010001111010101101000001010010011110110010010000111010101111110001111110011110011111101100110101010111111000010001111110011001, 0, None, None, None
0.899, 11000110100010011101000101111011000111111010101110001011100101010111000100111010111011101010001101110010010000011101101110111110010000011111101010111011111001001001111100101001000100110010101011000101100110110100100111010001100101011001111000100100111011011011111011100101100100110100010000000101001001001101001001101001001001100001101010110001010000110000011100101111110111000001011010100101000001010010011010110010010000111010101111110001110110011110011111101100110101010111111010010101111111011001, 0.899, 11000110100010011101000101111011000111111010101110001011100101010111000100111010111011101010001101110010010000011101101110111110010000011111101010111011111001001001111100101001000100110010101011000101100110110100100111010001100101011001111000100100111011011011111011100101100100110100010000000101001001001101001001101001001001100001101010110001010000110000011100101111110111000001011010100101000001010010011010110010010000111010101111110001110110011110011111101100110101010111111010010101111111011001, 0, None, None, None
0.899, 11000110100010011100000101111011000111111010001110001011100101010111000100111010111011101010001101110010010000011101101110110110010000011111101000111011111001001001111100101001000100110010101011000101100110111100100011010001110111011001111000100100111011011011111011100101100100110100010000000101101001001101001001101001101001100001111010110000010000110000111110101111110111000001011000100101000011010010001110110010010000111010101101110011110110011110111111101100110101010111100010010111111111011001, 0.899, 11000110100010011100000101111011000111111010001110001011100101010111000100111010111011101010001101110010010000011101101110110110010000011111101000111011111001001001111100101001000100110010101011000101100110111100100011010001110111011001111000100100111011011011111011100101100100110100010000000101101001001101001001101001101001100001111010110000010000110000111110101111110111000001011000100101000011010010001110110010010000111010101101110011110110011110111111101100110101010111100010010111111111011001, 0, None, None, None
