# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
-1.0, 01100000011100100110001011000100001100111011110011011000011110000110001001110100011011010011110000110011001101101101100001001100010111101110011001000000110011110101101000111001110000011000101110001001010000001001001101100010110110101000011010011101001100011011110101111110110000110110001000010000011100111101011011001100001110111011010110100001000111010001011001001011000000000101011010100100101011010001011001000000110101000111001110001101010101000001110111011110111100110001010100011001011100100000, -1.0, 01100000011100100110001011000100001100111011110011011000011110000110001001110100011011010011110000110011001101101101100001001100010111101110011001000000110011110101101000111001110000011000101110001001010000001001001101100010110110101000011010011101001100011011110101111110110000110110001000010000011100111101011011001100001110111011010110100001000111010001011001001011000000000101011010100100101011010001011001000000110101000111001110001101010101000001110111011110111100110001010100011001011100100000, 0, None, None, None
-1.0, 01100000011100100010001011001110001100111011110011001000011110000110001011110100011011010011110000110011001101101101100001001100010111101110011011000000110011110101101000111001110000011000101110001001010010011001001100100010100110001000011010011101001100011111110101111110110000110110001000010000011100111101011011001100001110111011010010100101000111010001010000001011010000100101011010100100001011010001001001000000110101100111101110000100010111000001011111011110111100110001010100011001011101100000, -1.0, 01100000011100100010001011001110001100111011110011001000011110000110001011110100011011010011110000110011001101101101100001001100010111101110011011000000110011110101101000111001110000011000101110001001010010011001001100100010100110001000011010011101001100011111110101111110110000110110001000010000011100111101011011001100001110111011010010100101000111010001010000001011010000100101011010100100001011010001001001000000110101100111101110000100010111000001011111011110111100110001010100011001011101100000, 0, None, None, None
-1.0, 01100000011000100010001111001100001100101011110011001000011110000110001011110100011011010011110000110011001101101101100001001100010111101110011011001000110001110101111100111101110000001000101110001001110010111001001100100010100110001000011010011100001100011101110101101010110100110110001000010000011100111101011011001100101110111010010010101101000111010001010000001011010010100101011011100110001011010001001001000000110101100110101110000100010111000001011111011110111100110001010100011001010101100000, -1.0, 01100000011000100010001111001100001100101011110011001000011110000110001011110100011011010011110000110011001101101101100001001100010111101110011011001000110001110101111100111101110000001000101110001001110010111001001100100010100110001000011010011100001100011101110101101010110100110110001000010000011100111101011011001100101110111010010010101101000111010001010000001011010010100101011011100110001011010001001001000000110101100110101110000100010111000001011111011110111100110001010100011001010101100000, 0, None, None, None
-1.0, 01101100011000100011111111001100001100101011100011001000011110000110001011110100011011010011110000110111001101101101100001001100010111111110001010001000110001110001111100111101110000001010101111001101110010111001001100000010100110001010011010011100001100011101110101101010110100111110011000010001111100111101011011001100101110111010010010101101000111000001010100001111010010100101011011100110001011010001001001000000110101100110111110000100010111000001010111011110111100110001010100011001010101100000, -1.0, 01101100011000100011111111001100001100101011100011001000011110000110001011110100011011010011110000110111001101101101100001001100010111111110001010001000110001110001111100111101110000001010101111001101110010111001001100000010100110001010011010011100001100011101110101101010110100111110011000010001111100111101011011001100101110111010010010101101000111000001010100001111010010100101011011100110001011010001001001000000110101100110111110000100010111000001010111011110111100110001010100011001010101100000, 0, None, None, None
-1.0, 00101100011010100011111111001100001100101011000011001000011010000111001011100100011011010011110000111111001101101101100001101100010111111110001010011000010001110001111100111101110000001010101111001101100010111001001100000010100110001010011010011101001110011001110101101010110100111110011000000001111100111001011011101100101110111010010110101101000111000001010100001111010010100101011011100110001011010001001001000000110101100110111110000110010111000001000111111110111100010101010100011001010101100000, -1.0, 00101100011010100011111111001100001100101011000011001000011010000111001011100100011011010011110000111111001101101101100001101100010111111110001010011000010001110001111100111101110000001010101111001101100010111001001100000010100110001010011010011101001110011001110101101010110100111110011000000001111100111001011011101100101110111010010110101101000111000001010100001111010010100101011011100110001011010001001001000000110101100110111110000110010111000001000111111110111100010101010100011001010101100000, 0, None, None, None
-1.0, 00001100011010100011111111001101001100101011000011001000111010000111001001100100111011010011010100111101001101101101100001101100010111111100001010011010010001110001111100011101110001001010101111001001110010101001001100000010000110001000011010011101001110011001110101101010110100111110011000001011111100111001011011101100100110111010010110101100000111000000010100001111010010100101011111100110001001010001001001100000110101100110111110000110010111000001000111111111111100010101010100011001010101100001, -1.0, 00001100011010100011111111001101001100101011000011001000111010000111001001100100111011010011010100111101001101101101100001101100010111111100001010011010010001110001111100011101110001001010101111001001110010101001001100000010000110001000011010011101001110011001110101101010110100111110011000001011111100111001011011101100100110111010010110101100000111000000010100001111010010100101011111100110001001010001001001100000110101100110111110000110010111000001000111111111111100010101010100011001010101100001, 0, None, None, None
-1.0, 00001100011010100011111111001101001100101111000011001100111010000111001001100100111011011011111100111101001101001101000001101100010111111100001010011010010001111011111100011111110001001010101111001001010010101001001100000010100110001000011010011101001110011001110111101011110100111110011000001011111100111001011011101100101010111010010110101100000111000000010100001111010010100101011111101111001001010101001001100000110101000100111100000110010101000001000111111111111100010111010100011001010101100011, -1.0, 00001100011010100011111111001101001100101111000011001100111010000111001001100100111011011011111100111101001101001101000001101100010111111100001010011010010001111011111100011111110001001010101111001001010010101001001100000010100110001000011010011101001110011001110111101011110100111110011000001011111100111001011011101100101010111010010110101100000111000000010100001111010010100101011111101111001001010101001001100000110101000100111100000110010101000001000111111111111100010111010100011001010101100011, 0, None, None, None
-1.0, 10001000000010100010111111001101001100101111000011001100111010000111001001100100111011011011110100111101001101001101000100101100010111111100001011011010010001111011111100011111110001001010101111001001010010101001001100000010100110001000011010011101001110011001110111101011110100111110011000000011111100111001011011101100101010111010010111101100000101000000010100000111010010100101011111101111011001010101001001100000110101000100101100000110010101000001000101111111111100010111110000011011010101100010, -1.0, 10001000000010100010111111001101001100101111000011001100111010000111001001100100111011011011110100111101001101001101000100101100010111111100001011011010010001111011111100011111110001001010101111001001010010101001001100000010100110001000011010011101001110011001110111101011110100111110011000000011111100111001011011101100101010111010010111101100000101000000010100000111010010100101011111101111011001010101001001100000110101000100101100000110010101000001000101111111111100010111110000011011010101100010, 0, None, None, None
-1.0, 10101000000010100010101111001001001100101101000011011100111010000110001001100100111011011011110110111101000101001101000100101100011111111100001011011010010001101011111100001111100001001010101111001001010010101001001100000010100110000000011010011111001110011001111111101011110100111110011000000011111100011001011011101000101010111010010111101100000111000000010100000111010010100101011011101111011011011101001001100000110101000110101101000110010101001001000101111111111100010111110000011011010101100010, -1.0, 10101000000010100010101111001001001100101101000011011100111010000110001001100100111011011011110110111101000101001101000100101100011111111100001011011010010001101011111100001111100001001010101111001001010010101001001100000010100110000000011010011111001110011001111111101011110100111110011000000011111100011001011011101000101010111010010111101100000111000000010100000111010010100101011011101111011011011101001001100000110101000110101101000110010101001001000101111111111100010111110000011011010101100010, 0, None, None, None
0.472, 10101000000010101010101111001001001100101101000011011100101010000110001001100100111011011011110110111101000101001001000101101100011111111100001011011010010001101011111100001111000001001010101111001001010010101001001100010010100110000000111010011111011110011001110111101011110100111110011000000011110100011001011011101000101010111000010011101100000111000000010110000111010010100101011010101011011011011101001001100000110101000110101101001110010101011101000111111111111100011111111000011011010100100010, 0.472, 10101000000010101010101111001001001100101101000011011100101010000110001001100100111011011011110110111101000101001001000101101100011111111100001011011010010001101011111100001111000001001010101111001001010010101001001100010010100110000000111010011111011110011001110111101011110100111110011000000011110100011001011011101000101010111000010011101100000111000000010110000111010010100101011010101011011011011101001001100000110101000110101101001110010101011101000111111111111100011111111000011011010100100010, 0, None, None, None
