# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
0.9128, 00010000011000001010111001110101101000011010111001100001111001111010100111100001001101100110101001001101111010111100101011000000111101011010100010011101011011011011001001111111110111101100001101010011110000110111011101000011110001011101011100100101100101010110001101010111101010110001100110110110010000100001111100110110001100100000100000110111101111010001000100100000001010111100011011110110110101000010000110011001111100010000011110101001110111101111101000101001010010100101011001011101000101010000, 0.9128, 00010000011000001010111001110101101000011010111001100001111001111010100111100001001101100110101001001101111010111100101011000000111101011010100010011101011011011011001001111111110111101100001101010011110000110111011101000011110001011101011100100101100101010110001101010111101010110001100110110110010000100001111100110110001100100000100000110111101111010001000100100000001010111100011011110110110101000010000110011001111100010000011110101001110111101111101000101001010010100101011001011101000101010000, 0, 0, 1.0, 10
0.9104, 00010000011000001010011011110101001001011110111001100001111001111010100111100001001101100010101001001101110010111100101011000000111101011010100011011101011011011011001000111111110111100100001001010011110001110011010101100001110001011101011100100101100101010110001001010111101010111001100110110110010000100001111100010110101100100000100000110111101111010001000100100000001011111100011011110111110101000010100110011001111100010000011100100001110111101111101000100001010010100101011001011101000101010000, 0.9128, 00010000011000001010111001110101101000011010111001100001111001111010100111100001001101100110101001001101111010111100101011000000111101011010100010011101011011011011001001111111110111101100001101010011110000110111011101000011110001011101011100100101100101010110001101010111101010110001100110110110010000100001111100110110001100100000100000110111101111010001000100100000001010111100011011110110110101000010000110011001111100010000011110101001110111101111101000101001010010100101011001011101000101010000, 0, 1, 1.0, 9
0.9372, 10010001011000001010011011110101001001001110111001100001101001111010100111100000001101100010101001001101110010111101101011000000111001011010100011011101011010001011001000111111110111100101001101010011110001110011010101100001110001011101011100100101100101010110001001010110111010111001100110110110010000100001110100011111101100100000100000111111101111010001010100100000001011111100011011111111110101000010100110011001111100010000011100100101110101101011101000000001011010100101011001011101000101010000, 0.9372, 10010001011000001010011011110101001001001110111001100001101001111010100111100000001101100010101001001101110010111101101011000000111001011010100011011101011010001011001000111111110111100101001101010011110001110011010101100001110001011101011100100101100101010110001001010110111010111001100110110110010000100001110100011111101100100000100000111111101111010001010100100000001011111100011011111111110101000010100110011001111100010000011100100101110101101011101000000001011010100101011001011101000101010000, 0, 1, 1.0, 9
0.9484, 10010001011000001010011011110101011001001111111001100001101001111010101111101000001101100011101001001101110110111101101001000000111001011000000011011101011010001001001000111111110111100101001101110011110001110011010100100001110001011101011100100111100111010110001000010110111010110001100110110110010000100001110100111111101100100000100000111111101111010001010100000000001011111100011111101111110001000010100110011001111100010000111100100101110101101011101000000101011010100101011001011101010101010000, 0.9484, 10010001011000001010011011110101011001001111111001100001101001111010101111101000001101100011101001001101110110111101101001000000111001011000000011011101011010001001001000111111110111100101001101110011110001110011010100100001110001011101011100100111100111010110001000010110111010110001100110110110010000100001110100111111101100100000100000111111101111010001010100000000001011111100011111101111110001000010100110011001111100010000111100100101110101101011101000000101011010100101011001011101010101010000, 0, 0, 1.0, 10
0.9528, 10010001011001001010011011110101011001001111111001100000101001111010001111101000001101101011101001001101110110111101101001000000011001011100000011011101011010001001011001111111110111100101000100110011111001110011010100100001110001011100011100100111100101011111000001010111101010111001000110110110010010100001110100010110101100100000100000110111101111011011000100100000000011111100011011100111110101000010000100011001111100100000011100110001110110101111001000100000010110100101011001011101000101010000, 0.9528, 10010001011001001010011011110101011001001111111001100000101001111010001111101000001101101011101001001101110110111101101001000000011001011100000011011101011010001001011001111111110111100101000100110011111001110011010100100001110001011100011100100111100101011111000001010111101010111001000110110110010010100001110100010110101100100000100000110111101111011011000100100000000011111100011011100111110101000010000100011001111100100000011100110001110110101111001000100000010110100101011001011101000101010000, 0, 1, 1.0, 9
0.9516, 10010101011001001011011011110101011001000111111001100000101001111010001111101000001101001011101001001101110110111100101001000000011001001100000011011001011010011001011001111111110110100101000100110011111001110011010100100001110001011100011100100111100100000010001110010111100010010001110100110111010011010101111100110100001110000000100100110111101111110001010100100001001010111100011001010110110101000000100110011001111000011010001010100001111101001110101011100001010011100101011001001101100101010101, 0.9528, 10010001011001001010011011110101011001001111111001100000101001111010001111101000001101101011101001001101110110111101101001000000011001011100000011011101011010001001011001111111110111100101000100110011111001110011010100100001110001011100011100100111100101011111000001010111101010111001000110110110010010100001110100010110101100100000100000110111101111011011000100100000000011111100011011100111110101000010000100011001111100100000011100110001110110101111001000100000010110100101011001011101000101010000, 0, 0, 1.0, 10
0.896, 10010001011000001000111001100101100100011010111001100101010011111011100111100001001100000011100001001101110010010100001010000000011101111011100010011100010011011101001000111111011111111101011101001001101000110011011101100001110000111101010100000001100101010010001101010111100010000011110110010111010010110000111110110110001100100000100000110111101111010001000100100100101010111101011011110110111101000000000110111001111000010000011110100001110101001111111010101001010010100101011001011101000101010101, 0.9528, 10010001011001001010011011110101011001001111111001100000101001111010001111101000001101101011101001001101110110111101101001000000011001011100000011011101011010001001011001111111110111100101000100110011111001110011010100100001110001011100011100100111100101011111000001010111101010111001000110110110010010100001110100010110101100100000100000110111101111011011000100100000000011111100011011100111110101000010000100011001111100100000011100110001110110101111001000100000010110100101011001011101000101010000, 0, 2, 1.0, 8
0.9008, 10010001001000001000111001100101101100011010111001100101110010111011100111100001001100100011100001001000111010011100001010000000011101110010100000011101011011011101101000111111010111111111011101001101100000110011011001100001110001101101010100000101100101011111000001010111101000111001000110110110010010100001110100011110100110100000100000110111111111111011000100100100000011111100011011100111110101100010000100011100011100100000011100110000110100101111001000100000010110100101011001011101000101010000, 0.9528, 10010001011001001010011011110101011001001111111001100000101001111010001111101000001101101011101001001101110110111101101001000000011001011100000011011101011010001001011001111111110111100101000100110011111001110011010100100001110001011100011100100111100101011111000001010111101010111001000110110110010010100001110100010110101100100000100000110111101111011011000100100000000011111100011011100111110101000010000100011001111100100000011100110001110110101111001000100000010110100101011001011101000101010000, 0, 1, 1.0, 9
0.9528, 10110111001001001111011011010101001001000011111001100000101001111010111011101100011100000011101100001101100111011100101001001000011100001101000011011001001010000000010001110111110110101101100100110011111000110111010010100011110001111101011100100111001100011111000011010111100011111001001110110110010010100001110110110110001100100000100010110111101111011011000100100000000001110100011011101011110101100000001100001001111000101000011000110001110110101111001000100000010100100101011001011101000100000000, 0.9528, 10110111001001001111011011010101001001000011111001100000101001111010111011101100011100000011101100001101100111011100101001001000011100001101000011011001001010000000010001110111110110101101100100110011111000110111010010100011110001111101011100100111001100011111000011010111100011111001001110110110010010100001110110110110001100100000100010110111101111011011000100100000000001110100011011101011110101100000001100001001111000101000011000110001110110101111001000100000010100100101011001011101000100000000, 0, 2, 0.9, 8
0.9528, 11110111001001000111011011010100001001000011111011110000101001111010111011101100011100000011101100101101100101011100101001001000011100001101100011011001001001000000010001111111110110101101100100110011111000110111010010100001110001111101011100100111001100011111000011010111100011111001001110110110010010100001110110110110001110100000100010110111101111011011010100100000000001110100011011101011110101100001001101001001111000101000011000110001110110101111001000100000010100101101011001001101000010000000, 0.9528, 11110111001001000111011011010100001001000011111011110000101001111010111011101100011100000011101100101101100101011100101001001000011100001101100011011001001001000000010001111111110110101101100100110011111000110111010010100001110001111101011100100111001100011111000011010111100011111001001110110110010010100001110110110110001110100000100010110111101111011011010100100000000001110100011011101011110101100001001101001001111000101000011000110001110110101111001000100000010100101101011001001101000010000000, 0, 0, 1.0, 10
