# gen_best_score, gen_best, all_time_best_score, all_time_best, failed, seen, diversity, evaluated
0.1188, 00001110100111001001001011100000001101110000111100000010101101101110001000001011100010001011001001111001100100111000100100110110100110010010101001001111001100110000100110000000010000001111110001011000000100110101001100001000000110100111011011100000001010011011101001110100101100000111011011101000010001000110100000001100110101111110110000101101001110011001101011000010110101011100001001110010100010101001110100110011001001010001011000111101101110100001001000011111110101000100011100100000000111001110, 0.1188, 00001110100111001001001011100000001101110000111100000010101101101110001000001011100010001011001001111001100100111000100100110110100110010010101001001111001100110000100110000000010000001111110001011000000100110101001100001000000110100111011011100000001010011011101001110100101100000111011011101000010001000110100000001100110101111110110000101101001110011001101011000010110101011100001001110010100010101001110100110011001001010001011000111101101110100001001000011111110101000100011100100000000111001110, 0, 0, 1.0, 10
0.1188, 00001110100111001001001011100000001101110000111100000010101101101110001000001011100010001011001001111001100100111000100100110110100110010010101001001111001100110000100110000000010000001111110001011000000100110101001100001000000110100111011011100000001010011011101001110100101100000111011011101000010001000110100000001100110101111110110000101101001110011001101011000010110101011100001001110010100010101001110100110011001001010001011000111101101110100001001000011111110101000100011100100000000111001110, 0.1188, 00001110100111001001001011100000001101110000111100000010101101101110001000001011100010001011001001111001100100111000100100110110100110010010101001001111001100110000100110000000010000001111110001011000000100110101001100001000000110100111011011100000001010011011101001110100101100000111011011101000010001000110100000001100110101111110110000101101001110011001101011000010110101011100001001110010100010101001110100110011001001010001011000111101101110100001001000011111110101000100011100100000000111001110, 0, 1, 1.0, 9
0.186, 00001110100110001001001011100010000101110000111100000000101001100110101000001011100010000011001001110001100100111000100100110110100110010010101001001111011100100000100110000000010000001111110001011001000100110101001100001000000110100111001011100000001110011011101001110100101100000111011011101100010001000110100000001100110111110110100001101101001110011001101011010010110101011101001001110010100010101001100100110011001001010001011000111100111110100101001000011111010101000100011101100000000111001110, 0.186, 00001110100110001001001011100010000101110000111100000000101001100110101000001011100010000011001001110001100100111000100100110110100110010010101001001111011100100000100110000000010000001111110001011001000100110101001100001000000110100111001011100000001110011011101001110100101100000111011011101100010001000110100000001100110111110110100001101101001110011001101011010010110101011101001001110010100010101001100100110011001001010001011000111100111110100101001000011111010101000100011101100000000111001110, 0, 1, 0.9, 9
0.186, 11011000100000111001111101101011111011100100011001011110110001100010111100110001101101001101111101110110010101111111110010111110000001011011001001010101000100111111110001111011101001011000100100100110010001111110111001011110011011110110100101110111101110010011101000110110101100000111011011100100010011000110100000001100111111110110101001001101001110011001101011010000110101011101001001110010100010101001101100110011001001010001011100111101111110000101001000011111010101001100011101100000000111101110, 0.186, 11011000100000111001111101101011111011100100011001011110110001100010111100110001101101001101111101110110010101111111110010111110000001011011001001010101000100111111110001111011101001011000100100100110010001111110111001011110011011110110100101110111101110010011101000110110101100000111011011100100010011000110100000001100111111110110101001001101001110011001101011010000110101011101001001110010100010101001101100110011001001010001011100111101111110000101001000011111010101001100011101100000000111101110, 0, 1, 1.0, 9
0.8084, 01011010100100100100001010100111001010110010111001101110110111011010000010110010011010010100010010001110100111101101111010011010001111010001100110111100010111000101001110011100001100100101011001001011000011011010011010101011011001010010010101100010011111011011101000110100101100000111011011101100010001000110100000001100110111110110100001101101001110011000101011110000110101011101001001110100100010101000100100100011001001010001011000111100111110100101001000011111000101000100011101100000001111001110, 0.8084, 01011010100100100100001010100111001010110010111001101110110111011010000010110010011010010100010010001110100111101101111010011010001111010001100110111100010111000101001110011100001100100101011001001011000011011010011010101011011001010010010101100010011111011011101000110100101100000111011011101100010001000110100000001100110111110110100001101101001110011000101011110000110101011101001001110100100010101000100100100011001001010001011000111100111110100101001000011111000101000100011101100000001111001110, 0, 1, 1.0, 9
0.8084, 01011010100101100001001010100111001010110010111001101110110111011010000010110010011110010100110010001110100111101001111010011010001011010001100111111100010111000101001110010100001100100101011000001011000011011010010010001011011001010010010101100010011111011011101000110100101100000111011011101100010001000110110000001100110111110110100000101101011110011010101011110000110101011111001101110100100010100000100100100011001001010001011000101100111110100101001000011111000101000100011101110000001101001110, 0.8084, 01011010100101100001001010100111001010110010111001101110110111011010000010110010011110010100110010001110100111101001111010011010001011010001100111111100010111000101001110010100001100100101011000001011000011011010010010001011011001010010010101100010011111011011101000110100101100000111011011101100010001000110110000001100110111110110100000101101011110011010101011110000110101011111001101110100100010100000100100100011001001010001011000101100111110100101001000011111000101000100011101110000001101001110, 0, 0, 1.0, 10
0.8084, 10001110100110101011100111111010000101100000110100000000100000110110101000011011100011000011011001111001000100111100000100110110100001011100110001001111110000101110000110000000001010101111100011011001001101011000000100000000000110100101000011110000001111011011101000110101101100000111111011111100010001000110110000001100110011110010100000101101011110011010101111100000110101011111011101110100100010000000100000100011001001010001111100001100111110101101001000011111000101000100011101110000001101001110, 0.8084, 10001110100110101011100111111010000101100000110100000000100000110110101000011011100011000011011001111001000100111100000100110110100001011100110001001111110000101110000110000000001010101111100011011001001101011000000100000000000110100101000011110000001111011011101000110101101100000111111011111100010001000110110000001100110011110010100000101101011110011010101111100000110101011111011101110100100010000000100000100011001001010001111100001100111110101101001000011111000101000100011101110000001101001110, 0, 0, 1.0, 10
0.8084, 10101010100100101011100101111010000101100000110110000001100001110110000000011011100011000011011001110001000100101100000100110110100001011100110001001111110000101110000110000000001010101111100011011000001101011000000100000000000110000101000011110000001011011011101000110101101101000111111011111100010001000100100000001100110011110010100000101101011110011010101111101000110101011111010111110100100110010000100000100011001001010001111100001100111110101101001000101111100101000100011100110001001101001110, 0.8084, 10101010100100101011100101111010000101100000110110000001100001110110000000011011100011000011011001110001000100101100000100110110100001011100110001001111110000101110000110000000001010101111100011011000001101011000000100000000000110000101000011110000001011011011101000110101101101000111111011111100010001000100100000001100110011110010100000101101011110011010101111101000110101011111010111110100100110010000100000100011001001010001111100001100111110101101001000101111100101000100011100110001001101001110, 0, 0, 1.0, 10
0.8084, 10111010100100101011100101111010000101100000110110010001100000110111000000011011110001000011011000111001000100111100000100110110100001011100110001111111110000101110000110000000001010111101100011011000001101011000000100000000010110000101000111110000001011111011101000110101101101010111111011111100010001000100100000001100110011110000100000101101011010011010101111101000110101011011010111110100100110010000001000100011001001010001011100101110111010101101001000101111100101000100111101110001001101001110, 0.8084, 10111010100100101011100101111010000101100000110110010001100000110111000000011011110001000011011000111001000100111100000100110110100001011100110001111111110000101110000110000000001010111101100011011000001101011000000100000000010110000101000111110000001011111011101000110101101101010111111011111100010001000100100000001100110011110000100000101101011010011010101111101000110101011011010111110100100110010000001000100011001001010001011100101110111010101101001000101111100101000100111101110001001101001110, 0, 0, 1.0, 10
0.8084, 10111010101000101011100001111010000101110000110110010001100000110111000000011010100001000011111000111001001000111100000100110110100011011110110001101111101000101110000110000100001010111100100001011000001101011000000100000000010110010101000111111000001011111011101000111101101101010111111011111100010001000100100000001100110011110000100000100101011110011010101111101000100101011011011110100100100110010000001000100001001001010001011100101110111010101101001000101111100101000100111101110001001001001110, 0.8084, 10111010101000101011100001111010000101110000110110010001100000110111000000011010100001000011111000111001001000111100000100110110100011011110110001101111101000101110000110000100001010111100100001011000001101011000000100000000010110010101000111111000001011111011101000111101101101010111111011111100010001000100100000001100110011110000100000100101011110011010101111101000100101011011011110100100100110010000001000100001001001010001011100101110111010101101001000101111100101000100111101110001001001001110, 0, 0, 1.0, 10
